% r0 (cm),freq (GHz),"Electric field norm (V/m), Point: (-0.088666, -0.09507)","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2"
5.8,9.5,0,0.681363115,0.673365049,0.261310483
5.8,9.6,0,0.655718941,0.670779909,0.266895614
5.8,9.7,0,0.631144673,0.665432911,0.269674996
5.8,9.8,0,0.613629219,0.659239256,0.271949771
5.8,9.9,0,0.603836906,0.652232566,0.274541567
5.8,10,0,0.601214392,0.645147244,0.281020636
5.8,10.1,0,0.60990456,0.644037595,0.292508632
5.8,10.2,0,0.625410285,0.652419334,0.30631862
5.8,10.3,0,0.627585093,0.663740914,0.329161893
5.8,10.4,0,0.621906341,0.668736784,0.348791379
5.8,10.5,0,0.625789001,0.672637896,0.366028149
5.8,10.6,0,0.640104973,0.676733346,0.383954846
5.8,10.7,0,0.658298638,0.678126712,0.399794382
5.8,10.8,0,0.679294209,0.676380092,0.414985542
5.8,10.9,0,0.703247141,0.674041502,0.416823326
