x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p","Electric field norm (V/m), Boundary Probe 3p"
-9.5,-9.5,3.6,0.74492,0.6568,0.44378,0.36959,1.0771,1.0771,0.92376,0.94411,0.94411,0.92376
-9.5,-9.5,3.7,0.71213,0.64966,0.35332,0.33492,1.0311,1.0311,0.97825,0.87169,0.87169,0.97825
-9.5,-9.5,3.8,0.68105,0.62868,0.37078,0.3392,0.95426,0.95426,1.0192,0.87911,0.87911,1.0192
-9.5,-9.5,3.9,0.65671,0.60773,0.434,0.3495,0.89108,0.89108,0.99634,0.96012,0.96012,0.99634
-9.5,-9.5,4,0.64344,0.61839,0.51246,0.32107,0.90486,0.90486,0.93883,0.959,0.959,0.93883
-9.5,-9.5,4.1,0.63286,0.63699,0.56265,0.27214,0.95978,0.95978,0.92093,0.89355,0.89355,0.92093
-9.5,-9.5,4.2,0.62082,0.6432,0.58313,0.23106,1.0064,1.0064,0.93745,0.86907,0.86907,0.93745
-9.5,-9.5,4.3,0.60659,0.63822,0.58807,0.20316,1.0344,1.0344,0.96252,0.91013,0.91013,0.96252
-9.5,-9.5,4.4,0.58905,0.6267,0.58652,0.18279,1.0434,1.0434,0.98434,1.0049,1.0049,0.98434
-9.5,-9.5,4.5,0.56846,0.61793,0.58896,0.1594,1.0314,1.0314,1.0004,1.1324,1.1324,1.0004
-9.5,-9.5,4.6,0.55316,0.62324,0.62179,0.13257,1.0003,1.0003,0.99814,1.2484,1.2484,0.99814
-9.5,-9.5,4.7,0.55859,0.63676,0.70235,0.17955,0.99296,0.99296,0.96498,1.249,1.249,0.96498
